NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
VFW CYPRESS POST 8905,21902 NORTHWEST FWY (HWY 290),CYPRESS,TX,77429,BOTH,HARRIS,275,137,0,No,29.93317958,-95.64308596,Buffalo-San Jacinto,img/shelters.png
SECOND CHRISTIAN CHURCH,4801 EDISON,HOUSTON,TX,77009,BOTH,HARRIS,43,21,0,No,29.80364093,-95.36363545,Buffalo-San Jacinto,img/shelters.png
COMMUNITY FAMILY CENTERS,7318 AVENUE F,HOUSTON,TX,77011,BOTH,HARRIS,372,186,0,No,29.73634253,-95.29390165,Buffalo-San Jacinto,img/shelters.png
GREATER ST. MATTHEW CHURCH SW CAMPUS,14919 SOUTH MAIN,HOUSTON,TX,77035,POST,HARRIS,0,200,0,No,29.62802107,-95.51069661,Buffalo-San Jacinto,img/shelters.png
BUSH INTERCONTINENTAL AIRPORT,2800 N TERMINAL RD,HOUSTON,TX,77032,BOTH,HARRIS,400,200,0,No,29.98674816,-95.33545956,Buffalo-San Jacinto,img/shelters.png
ST THOMAS MORE CATHOLIC CHURCH,10330 HILLCROFT ST,HOUSTON,TX,77096,BOTH,HARRIS,596,298,0,No,29.66858914,-95.49322957,Buffalo-San Jacinto,img/shelters.png
SOUTH MAIN BAPTIST CHURCH,200 COLQUITT STREET,HOUSTON,TX,77002,BOTH,HARRIS,225,112,0,No,29.73601088,-95.38294377,Buffalo-San Jacinto,img/shelters.png
NEIGHBORHOOD CENTERS INC - RIPLEY HOUSE,4410 NAVIGATION,HOUSTON,TX,77011,POST,HARRIS,0,203,0,No,29.7515143,-95.32885985,Buffalo-San Jacinto,img/shelters.png
WILLOW MEADOWS BAPTIST CHURCH,4300 W BELLFORT,HOUSTON,TX,77035,BOTH,HARRIS,300,150,0,No,29.67379969,-95.44936587,Buffalo-San Jacinto,img/shelters.png
HARBOR LIGHT CENTER,2407 NORTH MAIN,HOUSTON,TX,77009,BOTH,HARRIS,200,100,0,No,29.78191204,-95.36480895,Buffalo-San Jacinto,img/shelters.png
ALL NATIONS FAMILY WORSHIP CENTER,4039 HOLLISTER ST,HOUSTON,TX,77080,NOT AVAILABLE,HARRIS,0,50,1,Yes,29.83013261,-95.50963329,Buffalo-San Jacinto,img/shelters.png
ALL NATIONS FAMILY WORSHIP CENTER,3511 PINEMONT,HOUSTON,TX,77018,POST,HARRIS,0,50,0,No,29.84088678,-95.43313244,Buffalo-San Jacinto,img/shelters.png
FIRST PRESBYTERIAN CHURCH,5300 MAIN STREET,HOUSTON,TX,77004,EVAC,HARRIS,400,0,0,No,29.72774984,-95.38887419,Buffalo-San Jacinto,img/shelters.png
